author.id,u_min,u_max,u_mean,u_std,Cat,is_retweet,Label,retweet
u1745,0,0,0,,Twitter_User,,u1745,
u1746,0,2,1,1,Twitter_User,,u1746,
u1747,999,3429,2214,1718.27,Twitter_User,,u1747,
u1748,0,0,0,,Twitter_User,,u1748,
u1749,163,163,163,,Twitter_User,,u1749,
u175,0,0,0,,Twitter_User,,u175,
u1750,999,999,999,,Twitter_User,,u1750,
u1751,1,1,1,,Twitter_User,,u1751,
u1752,219,219,219,,Twitter_User,,u1752,
u1753,961,961,961,,Twitter_User,,u1753,
u1754,961,961,961,,Twitter_User,,u1754,
u1755,99,99,99,,Twitter_User,,u1755,
u1756,0,0,0,,Twitter_User,,u1756,
u1757,91,91,91,,Twitter_User,,u1757,
u1758,2888,2888,2888,,Twitter_User,,u1758,
u1759,2,2,2,,Twitter_User,,u1759,
u176,0,0,0,,Twitter_User,,u176,
u1760,0,0,0,,Twitter_User,,u1760,
u1761,0,0,0,,Twitter_User,,u1761,
u1762,0,39,2.85,7.86,Twitter_User,,u1762,
u1763,0,0,0,,Twitter_User,,u1763,
u1764,0,0,0,0,Twitter_User,,u1764,
u1765,23,23,23,,Twitter_User,,u1765,
u1766,30,30,30,,Twitter_User,,u1766,
u1767,0,26,13,18.38,Twitter_User,,u1767,
u1768,0,0,0,0,Twitter_User,,u1768,
u1769,0,0,0,,Twitter_User,,u1769,
u177,0,0,0,,Twitter_User,,u177,
u1770,0,0,0,,Twitter_User,,u1770,
u1771,0,0,0,,Twitter_User,,u1771,
u1772,0,0,0,,Twitter_User,,u1772,
u1773,0,0,0,,Twitter_User,,u1773,
u1774,125,125,125,,Twitter_User,,u1774,
u1775,0,0,0,0,Twitter_User,,u1775,
u1776,0,0,0,,Twitter_User,,u1776,
u1777,0,3,1.5,2.12,Twitter_User,,u1777,
u1778,0,0,0,,Twitter_User,,u1778,
u1779,875,875,875,,Twitter_User,,u1779,
u178,1,1,1,,Twitter_User,,u178,
u1780,0,0,0,,Twitter_User,,u1780,
u1781,2,312,121.67,166.64,Twitter_User,,u1781,
u1782,2995,2995,2995,,Twitter_User,,u1782,
u1783,3,3,3,,Twitter_User,,u1783,
u1784,0,2,0.57,0.79,Twitter_User,,u1784,
u1785,404,404,404,,Twitter_User,,u1785,
u1786,0,0,0,,Twitter_User,,u1786,
u1787,0,0,0,0,Twitter_User,,u1787,
u1788,0,0,0,,Twitter_User,,u1788,
u1789,0,0,0,,Twitter_User,,u1789,
u179,0,0,0,,Twitter_User,,u179,
u1790,0,0,0,,Twitter_User,,u1790,
u1791,3263,3263,3263,,Twitter_User,,u1791,
u1792,0,0,0,,Twitter_User,,u1792,
u1793,0,0,0,0,Twitter_User,,u1793,
u1794,1,1,1,,Twitter_User,,u1794,
u1795,2095,2095,2095,,Twitter_User,,u1795,
u1796,0,0,0,,Twitter_User,,u1796,
u1797,2095,2095,2095,,Twitter_User,,u1797,
u1798,0,0,0,,Twitter_User,,u1798,
u1799,0,0,0,,Twitter_User,,u1799,
u18,0,0,0,,Twitter_User,,u18,
u180,875,875,875,,Twitter_User,,u180,
u1800,0,0,0,,Twitter_User,,u1800,
u1801,0,0,0,,Twitter_User,,u1801,
u1802,0,0,0,0,Twitter_User,,u1802,
u1803,0,0,0,,Twitter_User,,u1803,
u1804,0,0,0,,Twitter_User,,u1804,
u1805,1,1,1,,Twitter_User,,u1805,
u1806,125,125,125,,Twitter_User,,u1806,
u1807,0,0,0,,Twitter_User,,u1807,
u1808,2888,2888,2888,,Twitter_User,,u1808,
u1809,0,0,0,,Twitter_User,,u1809,
u181,0,2,1,1.41,Twitter_User,,u181,
u1810,3263,3263,3263,,Twitter_User,,u1810,
u1811,0,0,0,,Twitter_User,,u1811,
u1812,3,3,3,,Twitter_User,,u1812,
u1813,0,0,0,,Twitter_User,,u1813,
u1814,17,17,17,,Twitter_User,,u1814,
u1815,2995,2995,2995,,Twitter_User,,u1815,
u1816,0,0,0,0,Twitter_User,,u1816,
u1817,59,59,59,,Twitter_User,,u1817,
u1818,0,0,0,,Twitter_User,,u1818,
u1819,2995,2995,2995,,Twitter_User,,u1819,
u182,1,312,33.33,78.37,Twitter_User,,u182,
u1820,8,312,81.3,98.79,Twitter_User,,u1820,
u1821,1,1,1,,Twitter_User,,u1821,
u1822,0,0,0,,Twitter_User,,u1822,
u1823,0,0,0,,Twitter_User,,u1823,
u1824,0,23,2.78,7.6,Twitter_User,,u1824,
u1825,100,100,100,,Twitter_User,,u1825,
u1826,6,2995,1004.67,1723.68,Twitter_User,,u1826,
u1827,0,0,0,,Twitter_User,,u1827,
u1828,329,329,329,,Twitter_User,,u1828,
u1829,0,0,0,,Twitter_User,,u1829,
u183,0,2995,262.43,682.59,Twitter_User,,u183,
u1830,0,0,0,,Twitter_User,,u1830,
u1831,0,0,0,,Twitter_User,,u1831,
u1832,0,0,0,0,Twitter_User,,u1832,
u1833,3263,3263,3263,,Twitter_User,,u1833,
u1834,0,2,0.69,0.95,Twitter_User,,u1834,
u1835,0,0,0,0,Twitter_User,,u1835,
u1836,961,961,961,,Twitter_User,,u1836,
u1837,0,0,0,,Twitter_User,,u1837,
u1838,0,0,0,,Twitter_User,,u1838,
u1839,0,0,0,,Twitter_User,,u1839,
u184,34,34,34,,Twitter_User,,u184,
u1840,0,0,0,,Twitter_User,,u1840,
u1841,0,0,0,,Twitter_User,,u1841,
u1842,0,70,10.29,26.34,Twitter_User,,u1842,
u1843,3263,3263,3263,,Twitter_User,,u1843,
u1844,0,42,21,29.7,Twitter_User,,u1844,
u1845,3263,3263,3263,,Twitter_User,,u1845,
u1846,0,146,23.6,44.16,Twitter_User,,u1846,
u1847,0,0,0,,Twitter_User,,u1847,
u1848,0,0,0,,Twitter_User,,u1848,
u1849,329,329,329,,Twitter_User,,u1849,
u185,0,107,16.14,40.09,Twitter_User,,u185,
u1850,1,1,1,,Twitter_User,,u1850,
u1851,875,875,875,,Twitter_User,,u1851,
u1852,2,5,3.5,2.12,Twitter_User,,u1852,
u1853,3429,3429,3429,,Twitter_User,,u1853,
u1854,0,375,23.84,64,Twitter_User,,u1854,
u1855,2995,2995,2995,,Twitter_User,,u1855,
u1856,0,0,0,,Twitter_User,,u1856,
u1857,2888,2888,2888,,Twitter_User,,u1857,
u1858,7,7,7,,Twitter_User,,u1858,
u1859,875,875,875,,Twitter_User,,u1859,
u186,0,0,0,,Twitter_User,,u186,
u1860,0,0,0,,Twitter_User,,u1860,
u1861,93,93,93,,Twitter_User,,u1861,
u1862,3429,3429,3429,,Twitter_User,,u1862,
u1863,3429,3429,3429,,Twitter_User,,u1863,
u1864,0,0,0,,Twitter_User,,u1864,
u1865,125,125,125,,Twitter_User,,u1865,
u1866,60,93,76.5,23.33,Twitter_User,,u1866,
u1867,0,7,2.33,4.04,Twitter_User,,u1867,
u1868,17,17,17,,Twitter_User,,u1868,
u1869,0,0,0,,Twitter_User,,u1869,
u187,0,0,0,0,Twitter_User,,u187,
